layer_loc, layername, MSE, MAE, max_m, min_m, max_n, min_n,norm MSE, norm MAE, norm_max_m, norm_min_m, norm_max_n, norm_min_n 
149 ,model/expanded_conv_4/squeeze_excite/Relu/Relu;model/expanded_conv_4/squeeze_excite/Conv/BiasAdd;model/expanded_conv_5/squeeze_excite/Conv/Conv2D;model/expanded_conv_4/squeeze_excite/Conv/Conv2D;model/expanded_conv_4/squeeze_excite/Conv/BiasAdd/ReadVariableOp/resource, 10239.6875, 68.40625, 127.0, -128.0, 126.0, -128.0, 1.3292617797851562, 0.7793951034545898, 2.90537428855896, 0.0, 2.8939805030822754, 0.0
150 ,model/re_lu_12/Relu6;model/tf.__operators__.add_7/AddV2;model/expanded_conv_4/squeeze_excite/Conv_1/BiasAdd;model/expanded_conv_5/squeeze_excite/Conv_1/Conv2D;model/expanded_conv_4/squeeze_excite/Conv_1/Conv2D;model/expanded_conv_4/squeeze_excite/Conv_1/BiasAdd/ReadVariableOp/resource;model/tf.__operators__.add/y1, 2340.8083333333334, 35.28333333333333, 127.0, -128.0, 127.0, -128.0, 1.2959493398666382, 0.8301961421966553, 6.0, 0.0, 6.0, 0.0
151 ,model/tf.math.multiply_7/Mul, 2340.8083333333334, 35.28333333333333, 127.0, -128.0, 127.0, -128.0, 0.03599859029054642, 0.13836602866649628, 1.0, 0.0, 1.0, 0.0
152 ,model/expanded_conv_4/squeeze_excite/Mul/mul, 1205.6468324829932, 14.129570578231293, 127.0, -128.0, 29.0, -128.0, 0.26248863339424133, 0.2084846794605255, 3.3936967849731445, -0.36888009309768677, 1.947686791419983, -0.36888009309768677
153 ,model/expanded_conv_4/project/BatchNorm/FusedBatchNormV3;model/expanded_conv_7/squeeze_excite/Conv/Conv2D;model/expanded_conv_4/project/Conv2D1, 2560.1394132653063, 38.80905612244898, 127.0, -128.0, 83.0, -91.0, 378.86590576171875, 14.929457664489746, 41.93121337890625, -56.16474533081055, 25.004852294921875, -41.93121337890625
154 ,model/expanded_conv_4/Add/add, 5509.26556122449, 59.33443877551021, 127.0, -128.0, 71.0, -87.0, 1142.1319580078125, 27.015819549560547, 54.637718200683594, -61.467430114746094, 29.14011573791504, -42.79954528808594
155 ,model/expanded_conv_5/expand/BatchNorm/FusedBatchNormV3;model/expanded_conv_5/squeeze_excite/Conv_1/Conv2D;model/expanded_conv_5/expand/Conv2D1, 1086.6959608843538, 21.170875850340135, 127.0, -128.0, 107.0, -69.0, 16.29894256591797, 2.592773199081421, 16.90070343017578, -14.328857421875, 14.451326370239258, -7.103194236755371
156 ,model/multiply_5/mul;model/tf.__operators__.add/y;model/re_lu_13/Relu6;model/tf.__operators__.add_8/AddV2;model/tf.math.multiply/Mul/y;model/tf.math.multiply_8/Mul, 1264.3660714285713, 17.001828231292517, 127.0, -128.0, 92.0, -128.0, 5.7855377197265625, 1.1500880718231201, 16.843595504760742, -0.4058697819709778, 14.476021766662598, -0.4058697819709778
157 ,model/expanded_conv_5/depthwise/BatchNorm/FusedBatchNormV3;model/expanded_conv_5/depthwise/depthwise;model/expanded_conv_5/squeeze_excite/Conv_1/Conv2D1, 354.3903698979592, 9.343643707482993, 127.0, -121.0, 57.0, -67.0, 28.539697647094727, 2.651550769805908, 35.756439208984375, -34.621315002441406, 15.89175033569336, -19.2971248626709
158 ,model/multiply_6/mul;model/tf.__operators__.add/y;model/re_lu_14/Relu6;model/tf.__operators__.add_9/AddV2;model/tf.math.multiply/Mul/y;model/tf.math.multiply_9/Mul, 840.4142431972789, 9.356462585034013, 127.0, -128.0, -13.0, -128.0, 16.914365768432617, 1.327372431755066, 35.750465393066406, -0.4256007671356201, 15.889095306396484, -0.4256007671356201
