layer_loc, layername, MSE, MAE, max_m, min_m, max_n, min_n,norm MSE, norm MAE, norm_max_m, norm_min_m, norm_max_n, norm_min_n 
354 ,model/conv5_block14_1_bn/FusedBatchNormV3, 66063378.84375, 7225.46875, 119.0, -128.0, 2821.0, -21481.0, 66063378.84375, 7225.46875, 119.0, -128.0, 2821.0, -21481.0
355 ,model/conv5_block14_2_conv/Conv2D, 0.0, 0.0, 127.0, -51.0, 127.0, -51.0, 0.0, 0.0, 127.0, -51.0, 127.0, -51.0
356 ,model/conv5_block15_0_bn/FusedBatchNormV31, 0.0, 0.0, 127.0, -128.0, 127.0, -128.0, 0.0, 0.0, 2.2538623809814453, -0.008873473852872849, 2.2538623809814453, -0.008873473852872849
357 ,model/conv5_block15_0_bn/FusedBatchNormV3, 0.0, 0.0, 127.0, -128.0, 127.0, -128.0, 0.0, 0.0, 0.22900588810443878, -0.20678889751434326, 0.22900588810443878, -0.20678889751434326
358 ,model/conv5_block15_1_conv/Conv2D, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
359 ,model/conv5_block15_1_bn/FusedBatchNormV3, 92632493.0625, 8709.140625, 126.0, -123.0, 2852.0, -20449.0, 92632493.0625, 8709.140625, 126.0, -123.0, 2852.0, -20449.0
360 ,model/conv5_block15_2_conv/Conv2D, 0.0, 0.0, 127.0, -82.0, 127.0, -82.0, 0.0, 0.0, 127.0, -82.0, 127.0, -82.0
361 ,model/conv5_block16_0_bn/FusedBatchNormV31, 0.0, 0.0, 127.0, -128.0, 127.0, -128.0, 0.0, 0.0, 2.947697401046753, 0.0, 2.947697401046753, 0.0
362 ,model/conv5_block16_0_bn/FusedBatchNormV3, 0.0, 0.0, 127.0, -128.0, 127.0, -128.0, 0.0, 0.0, 0.22008436918258667, -0.21836495399475098, 0.22008436918258667, -0.21836495399475098
363 ,model/conv5_block16_1_conv/Conv2D1, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0, 0.0, 0.0, 127.0, -127.0, 127.0, -127.0
364 ,model/conv5_block16_1_bn/FusedBatchNormV3, 70397131.578125, 7247.171875, 127.0, -120.0, 6101.0, -17567.0, 70397131.578125, 7247.171875, 127.0, -120.0, 6101.0, -17567.0
365 ,model/conv5_block16_2_conv/Conv2D110, 0.0, 0.0, 127.0, -67.0, 127.0, -67.0, 0.0, 0.0, 127.0, -67.0, 127.0, -67.0
366 ,model/bn/FusedBatchNormV31, 0.0, 0.0, 127.0, -128.0, 127.0, -128.0, 0.0, 0.0, 90.72726440429688, 0.0, 90.72726440429688, 0.0
367 ,model/bn/FusedBatchNormV3, 0.0, 0.0, 127.0, -128.0, 127.0, -128.0, 0.0, 0.0, 1.543094277381897, -1.970200777053833, 1.543094277381897, -1.970200777053833
368 ,model/predictions/MatMul, 0.0, 0.0, 127.0, -43.0, 127.0, -43.0, 0.0, 0.0, 0.8606223464012146, -0.2913918197154999, 0.8606223464012146, -0.2913918197154999
369 ,model/predictions/BiasAdd/ReadVariableOp/resource, 1829.414, 33.592, 109.0, -113.0, 159.0, -113.0, 0.00017861426749732345, 0.010496340692043304, 0.03405873849987984, -0.0353086031973362, 0.04968201369047165, -0.0353086031973362
370 ,tfl.quantize, 4.301704666241497, 1.8390531994047619, 89.0, -112.0, 89.0, -114.0, 0.00026461848756298423, 0.014423947781324387, 0.7058823704719543, -0.8705883026123047, 0.7058823704719543, -0.8862745761871338
371 ,model/zero_padding2d/Pad, 4.080195337114052, 1.744354127284184, 89.0, -112.0, 89.0, -114.0, 0.000250992423389107, 0.013681208714842796, 0.7058823704719543, -0.8705883026123047, 0.7058823704719543, -0.8862745761871338
372 ,model/conv1/relu/Relu;model/conv1/bn/FusedBatchNormV3;model/conv1/conv/Conv2D, 0.04210180165816327, 0.04208436304209184, 32.0, -15.0, 32.0, -15.0, 8.146104846673552e-06, 0.0005853899638168514, 0.6537660956382751, 0.0, 0.6537660956382751, 0.0
373 ,model/zero_padding2d_1/Pad, 0.04063750384733764, 0.040620671745152354, 32.0, -15.0, 32.0, -15.0, 7.862778147682548e-06, 0.0005650300299748778, 0.6537660956382751, 0.0, 0.6537660956382751, 0.0
374 ,model/pool1/MaxPool, 0.045798788265306124, 0.04575892857142857, 32.0, -15.0, 32.0, -15.0, 8.861416063155048e-06, 0.0006365029257722199, 0.6537660956382751, 0.0, 0.6537660956382751, 0.0
375 ,model/conv2_block1_0_bn/FusedBatchNormV32, 1.4964275749362246, 0.1458316725127551, 43.0, -128.0, 62.0, -128.0, 0.0001095715633709915, 0.001247880281880498, 1.4632453918457031, 0.0, 1.6258282661437988, 0.0
376 ,model/conv2_block1_0_relu/Relu;model/conv2_block1_0_bn/FusedBatchNormV3, 2.2247837611607144, 0.16058972417091838, -38.0, -128.0, -38.0, -128.0, 0.000100309269328136, 0.0010783119359984994, 0.6043230295181274, 0.0, 0.6043230295181274, 0.0
377 ,model/conv2_block1_1_relu/Relu;model/conv2_block1_1_bn/FusedBatchNormV3;model/conv5_block16_1_conv/Conv2D;model/conv2_block1_1_conv/Conv2D, 5.05985182158801, 0.8005545479910714, -2.0, -128.0, -2.0, -128.0, 6.609911361010745e-05, 0.002893475815653801, 0.4554067552089691, 0.0, 0.4554067552089691, 0.0
378 ,model/conv2_block1_2_conv/Conv2D1, 2.0911391900510203, 0.9257015306122449, 48.0, -86.0, 50.0, -87.0, 0.00040460575837641954, 0.012876431457698345, 0.8763247728347778, -0.9876041412353516, 0.9041446447372437, -1.0015140771865845
379 ,model/conv2_block1_concat/concat, 0.7275789221938775, 0.3390731292517007, 48.0, -86.0, 50.0, -87.0, 0.000140776188345626, 0.0047164796851575375, 0.8763247728347778, -0.9876041412353516, 0.9041446447372437, -1.0015140771865845
380 ,model/conv2_block2_0_bn/FusedBatchNormV32, 0.3779296875, 0.19152582908163265, 54.0, -53.0, 54.0, -54.0, 0.00017717049922794104, 0.004146842751652002, 0.9959740042686462, -1.3207480907440186, 0.9959740042686462, -1.3423997163772583
381 ,model/conv2_block2_0_relu/Relu;model/conv2_block2_0_bn/FusedBatchNormV3, 1.8852240114795917, 0.3436304209183674, -24.0, -128.0, -24.0, -128.0, 0.00013831110845785588, 0.0029433281160891056, 0.890800416469574, 0.0, 0.890800416469574, 0.0
382 ,model/conv2_block2_1_relu/Relu;model/conv2_block2_1_bn/FusedBatchNormV3;model/conv5_block16_1_conv/Conv2D;model/conv2_block2_1_conv/Conv2D, 9.601143973214286, 1.6133011798469388, 22.0, -128.0, 23.0, -128.0, 0.0001282079319935292, 0.005895374342799187, 0.5481346249580383, 0.0, 0.551788866519928, 0.0
383 ,model/conv2_block2_2_conv/Conv2D1, 3.7894112723214284, 1.3109355070153061, 45.0, -80.0, 44.0, -78.0, 0.0007331972592510283, 0.01823500543832779, 0.8345950245857239, -0.9041446447372437, 0.8206851482391357, -0.8763247728347778
384 ,model/conv2_block2_concat/concat, 1.4930370097257653, 0.582038723692602, 48.0, -86.0, 50.0, -87.0, 0.0002888814196921885, 0.008096111938357353, 0.8763247728347778, -0.9876041412353516, 0.9041446447372437, -1.0015140771865845
385 ,model/conv2_block3_0_bn/FusedBatchNormV32, 2.590633470184949, 0.7181346659757653, 95.0, -66.0, 96.0, -67.0, 0.00032938062213361263, 0.008097518235445023, 0.879509687423706, -0.9358885288238525, 0.8907854557037354, -0.9471642971038818
386 ,model/conv2_block3_0_relu/Relu;model/conv2_block3_0_bn/FusedBatchNormV3, 9.203334263392858, 1.1986955915178572, 44.0, -128.0, 48.0, -128.0, 0.0002489997132215649, 0.006234989035874605, 0.894654393196106, 0.0, 0.9154602885246277, 0.0
387 ,model/conv2_block3_1_relu/Relu;model/conv2_block3_1_bn/FusedBatchNormV3;model/conv5_block16_1_conv/Conv2D;model/conv2_block3_1_conv/Conv2D, 18.412027164381378, 2.369212870695153, 31.0, -128.0, 30.0, -128.0, 0.00034739775583148, 0.01029121968895197, 0.6906529068946838, 0.0, 0.6863091588020325, 0.0
388 ,model/conv2_block3_2_conv/Conv2D1, 8.76495735012755, 2.057228555484694, 35.0, -75.0, 35.0, -74.0, 0.0016958947526291013, 0.028615878894925117, 0.6954958438873291, -0.8345950245857239, 0.6954958438873291, -0.8206851482391357
389 ,model/conv2_block3_concat/concat, 2.9474210778061223, 0.8770766900510204, 48.0, -86.0, 50.0, -87.0, 0.0005702840280719101, 0.012200064957141876, 0.8763247728347778, -0.9876041412353516, 0.9041446447372437, -1.0015140771865845
390 ,model/conv2_block4_0_bn/FusedBatchNormV32, 3.9806341677295918, 0.9153280452806123, 87.0, -107.0, 94.0, -109.0, 0.0006657193298451602, 0.01183712761849165, 0.866451621055603, -1.6423784494400024, 0.9569764137268066, -1.6682425737380981
391 ,model/conv2_block4_0_relu/Relu;model/conv2_block4_0_bn/FusedBatchNormV3, 10.484253427933673, 1.2910016741071428, 37.0, -128.0, 37.0, -128.0, 0.00043442894821055233, 0.008310315199196339, 1.0621224641799927, 0.0, 1.0621224641799927, 0.0
392 ,model/conv2_block4_1_relu/Relu;model/conv2_block4_1_bn/FusedBatchNormV3;model/conv5_block16_1_conv/Conv2D;model/conv2_block4_1_conv/Conv2D, 22.655739297672195, 2.3894317004145407, 54.0, -128.0, 56.0, -128.0, 0.0005827763816341758, 0.01211871299892664, 0.923067033290863, 0.0, 0.9332106113433838, 0.0
393 ,model/conv2_block4_2_conv/Conv2D1, 10.52361686862245, 2.300163424744898, 49.0, -64.0, 46.0, -62.0, 0.0020361703354865313, 0.03199508413672447, 0.8902347087860107, -0.681585967540741, 0.8485049605369568, -0.6537660956382751
394 ,model/conv2_block4_concat/concat, 4.21012037627551, 1.1142578125, 49.0, -86.0, 50.0, -87.0, 0.0008145984029397368, 0.015499233268201351, 0.8902347087860107, -0.9876041412353516, 0.9041446447372437, -1.0015140771865845
395 ,model/conv2_block5_0_bn/FusedBatchNormV32, 3.2193346088435373, 0.9004304846938775, 100.0, -55.0, 100.0, -56.0, 0.0006198594928719103, 0.012494353577494621, 1.1378302574157715, -1.012946367263794, 1.1378302574157715, -1.0268223285675049
396 ,model/conv2_block5_0_relu/Relu;model/conv2_block5_0_bn/FusedBatchNormV3, 15.75849675807823, 1.6385954772534013, 60.0, -128.0, 54.0, -128.0, 0.00034024807973764837, 0.0076139881275594234, 0.8735712766647339, 0.0, 0.8456913232803345, 0.0
397 ,model/conv2_block5_1_relu/Relu;model/conv2_block5_1_bn/FusedBatchNormV3;model/conv5_block16_1_conv/Conv2D;model/conv2_block5_1_conv/Conv2D, 24.137354013871175, 2.3467070910395407, 54.0, -128.0, 59.0, -128.0, 0.0003911709936801344, 0.009447075426578522, 0.732672393321991, 0.0, 0.7528007626533508, 0.0
398 ,model/conv2_block5_2_conv/Conv2D1, 6.158472177933674, 1.67626953125, 35.0, -60.0, 31.0, -60.0, 0.0011915769428014755, 0.023316770792007446, 0.6954958438873291, -0.6259462833404541, 0.639856219291687, -0.6259462833404541
399 ,model/conv2_block5_concat/concat, 4.4884563479409625, 1.1945452008928572, 49.0, -86.0, 50.0, -87.0, 0.000868452712893486, 0.01661602593958378, 0.8902347087860107, -0.9876041412353516, 0.9041446447372437, -1.0015140771865845
400 ,model/conv2_block6_0_bn/FusedBatchNormV32, 5.617933445699708, 1.16017902696793, 90.0, -91.0, 99.0, -91.0, 0.0008874557097442448, 0.014581765048205853, 0.9803466200828552, -1.2945603132247925, 1.0934635400772095, -1.2945603132247925
401 ,model/conv2_block6_0_relu/Relu;model/conv2_block6_0_bn/FusedBatchNormV3, 15.026358646137027, 1.6032309129008746, 57.0, -128.0, 74.0, -128.0, 0.0006619641790166497, 0.010641098953783512, 1.2278975248336792, 0.0, 1.3407313823699951, 0.0
